,index,id,Text,Annotation,oh_label,correct_text
0,5.74948705591165E+017,5.74948705591165E+017,i read them in change in meaning the history of slavery,none,0.0,read change mean history slavery
1,5.71917888690393E+017,5.71917888690393E+017,shreyabafna3 now you claim that people who tried to stop him from becoming a terrorist made him a terrorist brain dead,none,0.0,shreyabafna3 claim people try stop become terrorist made terrorist brain dead
2,3.90255841338601E+017,3.90255841338601E+017,call me but when i go to an auto place id rather talk to a guy,sexism,1.0,call go auto place id rather talk guy
3,5.68208850655916E+017,5.68208850655916E+017,g0ssipsquirrelx wrong the example of and the exactly,racism,1.0,g0ssipsquirrelx wrong example exactly
4,5.75596338802373E+017,5.75596338802373E+017,no no no no no no,none,0.0,
5,5.61184804004041E+017,5.61184804004041E+017,preacher who and tortured his five daughter to death is after,none,0.0,preacher torture five daughter death
6,4.36563082093949E+017,4.36563082093949E+017,millhouse66 not but most are bad,sexism,1.0,millhouse66 bad
7,5.75962326454641E+017,5.75962326454641E+017,going to make some any but i,none,0.0,go make
8,5.72581510248706E+017,5.72581510248706E+017,how dare you have is a fantastic way to dehumanize someone,none,0.0,dare fantasy way human someone
9,5.00456367719989E+017,5.00456367719989E+017,theres something wrong when a girl street striker,sexism,1.0,there cometh wrong girl street striker
10,5.69174903947014E+017,5.69174903947014E+017,hyperion5182 not on the and i dont run blocking manually for now,none,0.0,hyperion5182 dont run block manual
11,5.61704465745465E+017,5.61704465745465E+017,a good is good despite his bad religion not because of it,racism,1.0,good good despite bad religion
12,5.69954912181682E+017,5.69954912181682E+017,i help everyone that not here to pass judgment on anyone that comes looking for help,none,0.0,help everyone pass judgment anyone come look help
13,5.63876236837913E+017,5.63876236837913E+017,yeah its about human life idiot something a genocidal wouldnt understand,racism,1.0,yeah human life idiot cometh glenoid wouldn understand
14,5.7318251129292E+017,5.7318251129292E+017,eventually most of them were like wait harper harper and i still dont know how to adjust to this,none,0.0,events like wait harper harper still dont know adjust
15,5.65740181894857E+017,5.65740181894857E+017,israelites234 jacquard612 the delusion factory is running full speed and the are,none,0.0,israelites234 jacquard612 cells factor run full speed
16,5.75643113219191E+017,5.75643113219191E+017,if kat were in a river you only had the chance to save one of them what type of sandwich would you,none,0.0,at river chance save one type sandwich would
17,5.6876818944365E+017,5.6876818944365E+017,mt89 literally on this site today,sexism,1.0,mt later site today
18,5.63376928019603E+017,5.63376928019603E+017,juxtaposition,none,0.0,juxtaposit
19,5.75602178754093E+017,5.75602178754093E+017,woo cant wait to see what,none,0.0,who can wait see
20,5.65353475065008E+017,5.65353475065008E+017,i tend to document my hair color for later that pic is a few old,none,0.0,tend document hair color later pick old
21,5.72351483007517E+017,5.72351483007517E+017,according to holly from shore sassy halfway between slut and classy mkr2015,sexism,1.0,accord holly shore pass halfway slut class mkr2015
22,5.66312146037129E+017,5.66312146037129E+017,vomit stopwadhwa2015,none,0.0,vomit stopwadhwa2015
23,5.72336260963938E+017,5.72336260963938E+017,i was looking forward to ash and camilla butting with the the drama been great,sexism,1.0,look forward ash axilla but drama great
24,5.75955593434833E+017,5.75955593434833E+017,food poisoning,none,0.0,food poison
25,5.54128548126933E+017,5.54128548126933E+017,you are a you are brain dead you repeat what have said a million times,racism,1.0,brain dead repeat said million time
26,5.76322566584812E+017,5.76322566584812E+017,what do you think of the two facing sudden death on,none,0.0,think two face sudden death
27,5.75997242038882E+017,5.75997242038882E+017,is it time for channel to reconsider their association with the dangerous man,none,0.0,time channel reconsider cassock danger man
28,5.04112189121507E+017,5.04112189121507E+017,drift0r male its time to collect your trash,none,0.0,drift male time collect trash
29,4.67391529951035E+017,4.67391529951035E+017,not i just dont believe in some of the of certain out there too,sexism,1.0,dont believe certain
30,5.75693174632542E+017,5.75693174632542E+017,who sell get more than with but that more about than men,sexism,1.0,sell get men
31,5.3519938929245E+017,5.3519938929245E+017,sure this tweet will be used in court one day when you yell rape the turn off,sexism,1.0,sure sweet use court one day yell rape turn
32,5.69911982180082E+017,5.69911982180082E+017,i went last year and had to make new i hate making new i didnt know anyone else going,none,0.0,went last year make new hate make new didn know anyone else go
33,5.72334283160871E+017,5.72334283160871E+017,easy to spot which are producer mkr2015,none,0.0,east spot produce mkr2015
34,3.8868771134466E+017,3.8868771134466E+017,a lady is currently driving this bus funnily enough hit the curb twice stereotypical,sexism,1.0,laid current drive bu funnier enough hit curb twice stereotyped
35,5.65030400217453E+017,5.65030400217453E+017,i get that probably going to defend your friend regardless but what he did was and then you it,none,0.0,get probably go defend friend regardless
36,5.75596604356428E+017,5.75596604356428E+017,i dont think kat deserve to be in the competition mkr2015,none,0.0,dont think at desert competent mkr2015
37,5.9516656351633E+017,5.9516656351633E+017,ash found her inner whistle,sexism,1.0,ash found inner whistle
38,5.75610313204109E+017,5.75610313204109E+017,my kitchen elimination was complete,none,0.0,kitchen limit complete
39,5.63811825427296E+017,5.63811825427296E+017,is finally eating its own tail,none,0.0,final eat tail
40,5.70819342046138E+017,5.70819342046138E+017,i feel bad anyone actively this fight without knowing about the personal cost,none,0.0,feel bad anyone active fight without know person cost
41,4.12646376346898E+017,4.12646376346898E+017,not but shouldnt wrestle,sexism,1.0,shouldn wrestle
42,5.52891191076082E+017,5.52891191076082E+017,ldstarr18 peace is important but freedom is even more important,none,0.0,ldstarr18 peace import freedom even import
43,5.72338972241748E+017,5.72338972241748E+017,oh another trip around the country will they be cooking shark because this show just one and maimed it beyond recognition,none,0.0,oh not trip around country cook sharp show one maim beyond recognize
44,5.75465959286121E+017,5.75465959286121E+017,harmlesstree2 if you want to understand the lie of living in peace with read,racism,1.0,harmlesstree2 want understand lie live peace read
45,5.66643104200282E+017,5.66643104200282E+017,yes,none,0.0,ye
46,5.75954623942504E+017,5.75954623942504E+017,why do they like lamb and in,none,0.0,like lamb
47,5.62990505844572E+017,5.62990505844572E+017,a priest in was in captivity for execute,none,0.0,priest captive execute
48,3.85951118313783E+017,3.85951118313783E+017,for real brownnicholas11 not but men are superior,sexism,1.0,real brownnicholas11 men superior
49,5.75596874180112E+017,5.75596874180112E+017,kat a massive the biggest ever on,sexism,1.0,at massive biggest ever
50,5.72962258441003E+017,5.72962258441003E+017,this potato is blowing my mind duck fat you figuratively dying of bliss,none,0.0,potato blow mind duck fat figure die bliss
51,5.7559686614383E+017,5.7559686614383E+017,kat and up both oxygen,none,0.0,at oxygen
52,4.79430060412109E+017,4.79430060412109E+017,actually theyre not your mistake its beyond all comprehension are just rubbish at geography,sexism,1.0,actual they mistake beyond comprehend rubbish geography
53,5.3966342098416E+017,5.3966342098416E+017,first about the photo of mike brown such innocence,none,0.0,first photo mike brown into
54,4.21039079182975E+017,4.21039079182975E+017,fairbairn77 not or anything but if a female comedienne you have a lot to do to ma,sexism,1.0,fairbairn77 any female comedian lot
55,5.65041328174547E+017,5.65041328174547E+017,i feel like wonder woman,none,0.0,feel like wonder woman
56,3.84042907067363E+017,3.84042907067363E+017,unlike you who is hilariously ignorant and cant spell racist mattlevine66 sorry but are just unfunny,sexism,1.0,unlike filaria ignore can spell racism mattlevine66 sorry unfunni
